id,rank,fighter,dojo,district,birth_date,height,weight,Lat,Lng
878,Y1w,Asashoryu,Takasago,Mongolia,9/27/80,184,148,34.7661005,134.7906014
8,S1w,Chiyotaikai,Kokonoe,Oita,4/29/76,181,154.1,33.2285239,131.1888843
1087,M5e,Iwakiyama,Sakaigawa,Aomori,3/2/76,183.5,171.5,43.0382724,141.3153207
152,M16w,Tamanoshima,Kataonami,Fukushima,9/15/77,187,164.5,34.1801053,135.1744606
876,O2w,Kotomitsuki,Sadogatake,Aichi,4/11/76,182,156,35.7772605,139.9616965
2847,M8w,Masatsukasa,Irumagawa,Aomori,6/7/84,183,147.8,35.8506694,139.4084837
1204,M15w,Kakizoe,Musashigawa,Oita,8/12/78,176.5,138.6,35.7127733,139.8643459
371,M16e,Kyokunankai,Oshima,Kagoshima,12/14/77,180,137.7,34.7408836,139.3856256
13,M16w,Tosanoumi,Isenoumi,Kochi,2/16/72,186,151.1,35.7256939,139.7456538
864,M12w,Bushuyama,Fujishima,Aomori,5/21/76,191,174,38.7655108,139.9081258
135,M17e,Hokutoriki,Hakkaku,Tochigi,10/31/77,182,150,49.280869,-123.0019651
1018,M11w,Shimotori,Tokitsukaze,Niigata,3/18/78,188,144,35.6937382,139.7945024
78,M17e,Toyozakura,Michinoku,Hiroshima,3/12/74,181,134,39.1362124,141.1499861
2930,M1w,Tokusegawa,Asahiyama,Mongolia,8/6/83,189,158,43.7684103,142.480038
1011,M7e,Hakuba,Michinoku,Mongolia,5/5/83,187,124,39.1362124,141.1499861
865,M10e,Kasugao,Kasugayama,Korea,7/1/77,183,149,37.1466667,138.2055556
1106,M11e,Koryu,Hanakago,Mongolia,2/4/84,186,153,45.5194078,-122.7068794
1136,M12e,Mokonami,Tatsunami,Mongolia,4/5/84,187,150,45.5194078,-122.7068794
206,M13e,Kotokasuga,Sadogatake,Fukuoka,8/25/77,182,147,35.7772605,139.9616965
7,O2e,Kaio,Tomozuna,Fukuoka,7/24/72,184,172,33.5948329,130.3595555
875,M14e,Takamisakari,Azumazeki,Aomori,5/12/76,188,145,35.7585295,139.8680035
10,M14w,Tochinonada,Kasugano,Ishikawa,2/26/74,186,160,37.1520331,138.2314092
1187,M10e,Kokkai,Oitekaze,Georgia,3/10/81,190,143,35.812615,139.814385
1134,M16w,Tsurugidake,Fujishima,Saitama,2/7/79,180,161.5,38.7655108,139.9081258
1266,M16w,Nionoumi,Kitanoumi,Shiga,12/16/86,173,144,35.2477713,-106.6916609
11729,M13w,Kimikaze,Oguruma,Tokyo,9/23/86,183,131,44.6167739,142.2331405
1032,M15e,Hochiyama,Sakaigawa,Aomori,1/18/82,189,151.5,43.0382724,141.3153207
6010,M14w,Kimurayama,Kasugano,Wakayama,7/13/81,182,174,37.1520331,138.2314092
1215,M16e,Takanoyama,Naruto,Czech,2/21/83,185,98,34.1726034,134.608866
900,M13w,Wakakoyu,Onomatsu,Chiba,2/24/84,180,172,35.670438,140.0347887
296,M15e,Yoshiazuma,Tamanoi,Kumamoto,5/26/77,198,166,37.5447602,140.3378622
842,M16e,Miyabiyama,Fujishima,Ibaraki,7/28/77,186,183,38.7655108,139.9081258
6034,M14w,Sagatsukasa,Irumagawa,Shizuoka,12/21/81,165,131,35.8506694,139.4084837
6552,M15w,Sotairyu,Tokitsukaze,Fukushima,7/26/82,179,119,35.6937382,139.7945024
5988,M16e,Oiwato,Hakkaku,Yamagata,5/18/81,178,140,49.280869,-123.0019651
11989,M16w,Daikiho,Miyagino,Fukuoka,5/13/89,182,152,38.2789376,140.9508565
6432,M6e,Baruto,Onoe,Estonia,11/5/84,197,193,35.1707418,136.8964451
6497,M11e,Daido,Onomatsu,Tokyo,8/21/82,188,169,35.670438,140.0347887
6531,M16e,Asahisho,Tomozuna,Chiba,7/21/89,175,140,33.5948329,130.3595555
6771,M16e,Aran,Kasugano,Russia,1/31/84,186,147,37.1520331,138.2314092
795,M16w,Tamaasuka,Kataonami,Aichi,1/26/83,185,158.5,34.1801053,135.1744606
1141,M11e,Shotenro,Fujishima,Mongolia,1/31/82,189,157.5,38.7655108,139.9081258
2830,S1w,Kotooshu,Sadogatake,Bulgaria,2/19/83,202,157,35.7772605,139.9616965
6770,M15e,Tenkaiho,Onoe,Kumamoto,10/14/84,184,189,35.1707418,136.8964451
6654,M13e,Masunoyama,Chiganoura,Chiba,11/1/90,180,174,35.7240504,139.8063938
