fighter_name,image_url
Futeno,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Sumo_May09_Futeno.jpg/220px-Sumo_May09_Futeno.jpg
Yamamotoyama,https://upload.wikimedia.org/wikipedia/commons/c/c2/Yamamotoyama_08_Sep.jpg
Asashoryu,https://upload.wikimedia.org/wikipedia/commons/2/2e/Sumo_May09_Asashoryu.jpg
Chiyotaikai,https://upload.wikimedia.org/wikipedia/commons/d/d1/Chiotaikai_%28cropped%29.JPG
Iwakiyama,https://upload.wikimedia.org/wikipedia/commons/6/6b/Iwakiyama_Shrine_haiden2.jpeg
Tamanoshima,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Sumo_May09_Tamanoshima.jpg/220px-Sumo_May09_Tamanoshima.jpg
Kotomitsuki,https://upload.wikimedia.org/wikipedia/commons/0/03/Kotomitsuki_Osaka_March_23_2009.jpg
Masatsukasa,https://upload.wikimedia.org/wikipedia/commons/f/f2/Masatsukasa_08_Sep.jpg
Kakizoe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Sumo_May09_Kakizoe.jpg/220px-Sumo_May09_Kakizoe.jpg
Kyokunankai,http://www.kyokushin-sabakido.com/wp-content/uploads/2017/10/421304843_77424.jpg
Tosanoumi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Tosanoumi_08_Sep.jpg/1200px-Tosanoumi_08_Sep.jpg
Bushuyama,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bushuyama_08_Sep.jpg/1200px-Bushuyama_08_Sep.jpg
Hokutoriki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Sumo_May09_Hokutoriki.jpg/220px-Sumo_May09_Hokutoriki.jpg
Shimotori,http://kumamoto-guide.jp/files/cee5f97b-de24-4182-b1de-fa8b80759b82_l.JPG
Toyozakura,https://newworldorchids.com/wp-content/uploads/2015/02/N-Toyozakura-006-W.jpg
Tokusegawa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Tokusegawa_2010_Jan.JPG/1200px-Tokusegawa_2010_Jan.JPG
Hakuba,https://upload.wikimedia.org/wikipedia/commons/9/99/Hakuba_Happo-one_Winter_Resort.JPG
Kasugao,https://upload.wikimedia.org/wikipedia/commons/e/ec/Kasugao_08_Sep.jpg
Koryu,https://static.wikia.nocookie.net/finalfantasy/images/3/3a/FFXIV_Koryu.png/revision/latest?cb=20200505152957
Mokonami,https://www.moonami.com/wp-content/uploads/2019/09/Moonami_Logo_new.jpg
Kotokasuga,https://upload.wikimedia.org/wikipedia/commons/c/c1/Kotokasuga_08_Sep.jpg
Kaio,https://static.wikia.nocookie.net/p__/images/9/90/508893-kaio_large.png/revision/latest/scale-to-width-down/269?cb=20140303175118&path-prefix=protagonist
Takamisakari,https://upload.wikimedia.org/wikipedia/commons/f/f8/Takamisakari_09_Sep.JPG
Tochinonada,https://upload.wikimedia.org/wikipedia/commons/4/41/Tochinonada_2010_Sep.JPG
Kokkai,https://upload.wikimedia.org/wikipedia/commons/1/12/Diet_of_Japan_Kokkai_2009.jpg
Tsurugidake,https://upload.wikimedia.org/wikipedia/commons/d/da/Tsurugidake_20100127.jpg
Nionoumi,https://static.wikia.nocookie.net/sumowrestling/images/2/2c/Nionoumi_2.jpg/revision/latest/top-crop/width/360/height/450?cb=20201129025933
Kimikaze,https://cdn.britannica.com/38/205438-050-38D3F793/USS-Intrepid-kamikaze-attack-Luzon-Philippines-November25-1944-World-War-II.jpg
Hochiyama,https://upload.wikimedia.org/wikipedia/commons/2/22/Hochiyama_2010_Sep.JPG
Kimurayama,https://upload.wikimedia.org/wikipedia/commons/4/4a/Kimurayama_08_Sep.jpg
Takanoyama,https://upload.wikimedia.org/wikipedia/commons/3/3c/Takanoyama_2008_Sep.jpg
Wakakoyu,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Wakakoyu_2010_Jan.JPG/1200px-Wakakoyu_2010_Jan.JPG
Yoshiazuma,https://upload.wikimedia.org/wikipedia/commons/4/4b/Yoshizauma_2011_Nov.jpg
Miyabiyama,https://upload.wikimedia.org/wikipedia/commons/7/7b/Miyabiyama_Tetsushi_2008_May.jpg
Sagatsukasa,https://upload.wikimedia.org/wikipedia/commons/e/ec/Sagatsukasa_09_Sep.JPG
Sotairyu,https://static.wikia.nocookie.net/sumowrestling/images/e/e2/Sotairyu_4.jpg/revision/latest/top-crop/width/360/height/450?cb=20201214025649
Oiwato,https://static.wikia.nocookie.net/sumowrestling/images/f/f6/Oiwato_2.jpg/revision/latest/scale-to-width-down/250?cb=20201129200012
Daikiho,https://static.wikia.nocookie.net/sumowrestling/images/9/99/Daikiho_4.jpg/revision/latest/scale-to-width-down/250?cb=20200904184507
Baruto,https://shopubuy.files.wordpress.com/2017/06/boruto.jpg?w=1200
Daido,"https://media.gq-magazine.co.uk/photos/5d1ba1d5551ea7e6686f7bce/16:9/w_1920,c_limit/original"
Asahisho,https://upload.wikimedia.org/wikipedia/commons/5/51/Asahisho_2012_Jan.JPG
Aran,https://cdn11.bigcommerce.com/s-scgdirr/images/stencil/685x900/products/19831/48641/A653leadoatmeal__94303.1605203086.jpg?c=2
Tamaasuka,https://upload.wikimedia.org/wikipedia/commons/1/11/Tamaasuka_09_Sep.JPG
Shotenro,https://upload.wikimedia.org/wikipedia/commons/b/b9/Sumo_May09_Shotenro.jpg
Kotooshu,https://upload.wikimedia.org/wikipedia/commons/e/e4/Kotooshu_2011_Sep.JPG
Tenkaiho,https://s3-ap-northeast-1.amazonaws.com/thegate/2020/12/08/19/48/18/Tenkaiho%20Observatory.jpg
Masunoyama,https://upload.wikimedia.org/wikipedia/commons/a/aa/Masunoyama_2011_Jan.JPG
Wakanosato,https://upload.wikimedia.org/wikipedia/commons/5/5c/Wakanosato_in_Harubasho_2013_IMG_1874-2_20310324.JPG
Homasho,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Sumo_May09_Homasho.jpg/180px-Sumo_May09_Homasho.jpg
Tochinowaka,https://upload.wikimedia.org/wikipedia/commons/7/75/Tochinowaka_2011_Jan.JPG
